,Year,Area Name,Radius Location,heathrow_distance,CCG_Poll_Map,LAT,LONG,<75 Coronary Heart Disease Mortality Rate,Asthma Admissions Over 19yr,Asthma Admissions Under 19yr,Asthma Mortality Rate,Asthma Prevalence,Atrial Fibrillation Prevalence,CHD Admissions,CHD Prevalence,CKD Prevalence,COPD (contributory cause) Mortality Rate,COPD Admissions,COPD Prevalence,Diabetes Prevalence,Heart Failure Admissions,Heart Failure Prevalence,Hypertension Prevalence,Pneumonia (all mentions) Mortality Rate,Pneumonia Admissions,Respiratory Admissions,Respiratory Tract Admissions 1yr,Respiratory Tract Admissions U1yr,Stroke Admissions,Stroke Atrial Fib Admissions,Stroke: Prevalence,Under 75 Resp Disease Mortality Rate,Unnamed: 0,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10,PM2.5,Sulphur dioxide
0,2003,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,57.82,,,,,,639.3530000000002,,,,,,,118.79299999999999,,,,,,,,,,,,,,,,,,,,,
1,2003,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,76.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2003,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,51.21,,,,,,730.138,,,,,,,107.01100000000001,,,,,,,,,,,,,,,,,,,,,
3,2003,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,65.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2003,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,82.91,,,,,,954.9939999999999,,,,,,,193.386,,,,,,,,,,,,,,,,,,,,,
5,2003,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,67.88,,,,,,762.508,,,,,,,124.875,,,,,,,,,,,,,,,,,,,,,
6,2003,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,54.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2003,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,75.75,,,,,,702.8580000000003,,,,,,,186.783,,,,,,,,,,,,,,,,,,,,,
8,2003,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,66.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2003,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,50.97,,,,,,641.306,,,,,,,121.78399999999999,,,,,,,,,,,,,,,,,,,,,
