,Date,CCG,Pollutant,Indicator Value (R µg/m3)
0,2020,Buckinghamshire,Carbon monoxide,0.13874975113759208
1,2004,Ealing,Carbon monoxide,0.770049469902473
2,2005,Ealing,Carbon monoxide,0.7621498097570265
3,2006,Ealing,Carbon monoxide,0.7300953061587455
4,2007,Ealing,Carbon monoxide,0.6519782013433968
5,2008,Ealing,Carbon monoxide,0.5025170231624833
6,2009,Ealing,Carbon monoxide,0.6400324472780062
7,2010,Ealing,Carbon monoxide,0.482649570106708
8,2011,Ealing,Carbon monoxide,0.4207831683090332
9,2012,Ealing,Carbon monoxide,
10,2013,Ealing,Carbon monoxide,
11,2014,Ealing,Carbon monoxide,
12,2015,Ealing,Carbon monoxide,
13,2016,Ealing,Carbon monoxide,
14,2017,Ealing,Carbon monoxide,
15,2018,Ealing,Carbon monoxide,
16,2019,Ealing,Carbon monoxide,
17,2020,Ealing,Carbon monoxide,
18,2004,East Berkshire,Carbon monoxide,
19,2005,East Berkshire,Carbon monoxide,
20,2006,East Berkshire,Carbon monoxide,
21,2007,East Berkshire,Carbon monoxide,
22,2008,East Berkshire,Carbon monoxide,
23,2009,East Berkshire,Carbon monoxide,
24,2010,East Berkshire,Carbon monoxide,
25,2011,East Berkshire,Carbon monoxide,
26,2012,East Berkshire,Carbon monoxide,
27,2013,East Berkshire,Carbon monoxide,
28,2014,East Berkshire,Carbon monoxide,
29,2015,East Berkshire,Carbon monoxide,
30,2016,East Berkshire,Carbon monoxide,
31,2017,East Berkshire,Carbon monoxide,
32,2018,East Berkshire,Carbon monoxide,
33,2019,East Berkshire,Carbon monoxide,0.12560647991333332
34,2020,East Berkshire,Carbon monoxide,
35,2004,Hammersmith and Fulham,Carbon monoxide,
36,2005,Hammersmith and Fulham,Carbon monoxide,
37,2006,Hammersmith and Fulham,Carbon monoxide,
38,2007,Hammersmith and Fulham,Carbon monoxide,
39,2008,Hammersmith and Fulham,Carbon monoxide,
40,2009,Hammersmith and Fulham,Carbon monoxide,
41,2011,Hammersmith and Fulham,Carbon monoxide,
42,2012,Hammersmith and Fulham,Carbon monoxide,
43,2013,Hammersmith and Fulham,Carbon monoxide,
44,2014,Hammersmith and Fulham,Carbon monoxide,
45,2015,Hammersmith and Fulham,Carbon monoxide,
46,2016,Hammersmith and Fulham,Carbon monoxide,
47,2017,Hammersmith and Fulham,Carbon monoxide,
48,2018,Hammersmith and Fulham,Carbon monoxide,
49,2019,Hammersmith and Fulham,Carbon monoxide,
50,2020,Hammersmith and Fulham,Carbon monoxide,
51,2004,Hillingdon,Carbon monoxide,
52,2005,Hillingdon,Carbon monoxide,
53,2006,Hillingdon,Carbon monoxide,
54,2007,Hillingdon,Carbon monoxide,
55,2008,Hillingdon,Carbon monoxide,
56,2009,Hillingdon,Carbon monoxide,
57,2010,Hillingdon,Carbon monoxide,
58,2011,Hillingdon,Carbon monoxide,
59,2012,Hillingdon,Carbon monoxide,
60,2013,Hillingdon,Carbon monoxide,
61,2014,Hillingdon,Carbon monoxide,
62,2015,Hillingdon,Carbon monoxide,
63,2016,Hillingdon,Carbon monoxide,
64,2017,Hillingdon,Carbon monoxide,
65,2018,Hillingdon,Carbon monoxide,
66,2019,Hillingdon,Carbon monoxide,
67,2020,Hillingdon,Carbon monoxide,
68,2004,Hounslow,Carbon monoxide,0.8174028579925703
69,2005,Hounslow,Carbon monoxide,0.8392115285668963
70,2006,Hounslow,Carbon monoxide,0.5013910806898613
71,2007,Hounslow,Carbon monoxide,0.5391916818669604
72,2008,Hounslow,Carbon monoxide,
73,2009,Hounslow,Carbon monoxide,
74,2010,Hounslow,Carbon monoxide,
75,2011,Hounslow,Carbon monoxide,
76,2012,Hounslow,Carbon monoxide,
77,2013,Hounslow,Carbon monoxide,
78,2014,Hounslow,Carbon monoxide,
79,2015,Hounslow,Carbon monoxide,
80,2016,Hounslow,Carbon monoxide,
81,2017,Hounslow,Carbon monoxide,
82,2018,Hounslow,Carbon monoxide,
83,2019,Hounslow,Carbon monoxide,
84,2020,Hounslow,Carbon monoxide,
85,2004,Oxford,Carbon monoxide,
86,2005,Oxford,Carbon monoxide,
87,2006,Oxford,Carbon monoxide,
88,2007,Oxford,Carbon monoxide,
89,2008,Oxford,Carbon monoxide,
90,2009,Oxford,Carbon monoxide,
91,2010,Oxford,Carbon monoxide,
92,2011,Oxford,Carbon monoxide,
93,2012,Oxford,Carbon monoxide,
94,2013,Oxford,Carbon monoxide,
95,2014,Oxford,Carbon monoxide,
96,2015,Oxford,Carbon monoxide,
97,2016,Oxford,Carbon monoxide,
98,2017,Oxford,Carbon monoxide,
99,2018,Oxford,Carbon monoxide,
100,2019,Oxford,Carbon monoxide,
101,2020,Oxford,Carbon monoxide,
102,2006,Oxfordshire,Carbon monoxide,
103,2007,Oxfordshire,Carbon monoxide,
104,2008,Oxfordshire,Carbon monoxide,
105,2009,Oxfordshire,Carbon monoxide,
106,2010,Oxfordshire,Carbon monoxide,
107,2011,Oxfordshire,Carbon monoxide,
108,2012,Oxfordshire,Carbon monoxide,
109,2013,Oxfordshire,Carbon monoxide,
110,2014,Oxfordshire,Carbon monoxide,
111,2015,Oxfordshire,Carbon monoxide,
112,2016,Oxfordshire,Carbon monoxide,
113,2017,Oxfordshire,Carbon monoxide,
114,2018,Oxfordshire,Carbon monoxide,
115,2019,Oxfordshire,Carbon monoxide,
116,2020,Oxfordshire,Carbon monoxide,
117,2006,Reading,Carbon monoxide,
118,2007,Reading,Carbon monoxide,
119,2008,Reading,Carbon monoxide,
120,2009,Reading,Carbon monoxide,
121,2010,Reading,Carbon monoxide,
122,2011,Reading,Carbon monoxide,
123,2012,Reading,Carbon monoxide,
124,2013,Reading,Carbon monoxide,
125,2014,Reading,Carbon monoxide,
126,2015,Reading,Carbon monoxide,
127,2016,Reading,Carbon monoxide,
128,2017,Reading,Carbon monoxide,
129,2018,Reading,Carbon monoxide,
130,2019,Reading,Carbon monoxide,
131,2020,Reading,Carbon monoxide,
132,2004,South West London,Carbon monoxide,
133,2005,South West London,Carbon monoxide,
134,2006,South West London,Carbon monoxide,
135,2007,South West London,Carbon monoxide,
136,2008,South West London,Carbon monoxide,
137,2009,South West London,Carbon monoxide,
138,2010,South West London,Carbon monoxide,
139,2011,South West London,Carbon monoxide,
140,2012,South West London,Carbon monoxide,
141,2013,South West London,Carbon monoxide,
142,2014,South West London,Carbon monoxide,
143,2015,South West London,Carbon monoxide,
144,2016,South West London,Carbon monoxide,
145,2017,South West London,Carbon monoxide,
146,2018,South West London,Carbon monoxide,
147,2019,South West London,Carbon monoxide,
148,2020,South West London,Carbon monoxide,
149,2004,Surrey Heartlands,Carbon monoxide,0.19540337005191258
150,2005,Surrey Heartlands,Carbon monoxide,0.24808829259807075
151,2006,Surrey Heartlands,Carbon monoxide,0.3064918217269941
152,2007,Surrey Heartlands,Carbon monoxide,0.28261814563173626
153,2008,Surrey Heartlands,Carbon monoxide,0.2009010843354234
154,2009,Surrey Heartlands,Carbon monoxide,0.28185296380769226
155,2010,Surrey Heartlands,Carbon monoxide,
156,2011,Surrey Heartlands,Carbon monoxide,
157,2012,Surrey Heartlands,Carbon monoxide,
158,2013,Surrey Heartlands,Carbon monoxide,
159,2014,Surrey Heartlands,Carbon monoxide,
160,2015,Surrey Heartlands,Carbon monoxide,
161,2016,Surrey Heartlands,Carbon monoxide,
162,2017,Surrey Heartlands,Carbon monoxide,
163,2018,Surrey Heartlands,Carbon monoxide,
164,2019,Surrey Heartlands,Carbon monoxide,
165,2020,Surrey Heartlands,Carbon monoxide,
166,2004,Watford,Carbon monoxide,
167,2005,Watford,Carbon monoxide,
168,2006,Watford,Carbon monoxide,
169,2007,Watford,Carbon monoxide,
170,2008,Watford,Carbon monoxide,
171,2009,Watford,Carbon monoxide,
172,2010,Watford,Carbon monoxide,
173,2011,Watford,Carbon monoxide,
174,2012,Watford,Carbon monoxide,
175,2013,Watford,Carbon monoxide,
176,2014,Watford,Carbon monoxide,
177,2015,Watford,Carbon monoxide,
178,2016,Watford,Carbon monoxide,
179,2017,Watford,Carbon monoxide,
180,2018,Watford,Carbon monoxide,
181,2019,Watford,Carbon monoxide,
182,2020,Watford,Carbon monoxide,
183,2020,Buckinghamshire,Nitric Oxide,33.78152532786745
184,2004,Ealing,Nitric Oxide,
185,2005,Ealing,Nitric Oxide,
186,2006,Ealing,Nitric Oxide,
187,2007,Ealing,Nitric Oxide,
188,2008,Ealing,Nitric Oxide,
189,2009,Ealing,Nitric Oxide,
190,2010,Ealing,Nitric Oxide,
191,2011,Ealing,Nitric Oxide,
192,2012,Ealing,Nitric Oxide,
193,2013,Ealing,Nitric Oxide,
194,2014,Ealing,Nitric Oxide,
195,2015,Ealing,Nitric Oxide,
196,2016,Ealing,Nitric Oxide,
197,2017,Ealing,Nitric Oxide,
198,2018,Ealing,Nitric Oxide,
199,2019,Ealing,Nitric Oxide,
200,2020,Ealing,Nitric Oxide,
201,2004,East Berkshire,Nitric Oxide,
202,2005,East Berkshire,Nitric Oxide,
203,2006,East Berkshire,Nitric Oxide,
204,2007,East Berkshire,Nitric Oxide,
205,2008,East Berkshire,Nitric Oxide,
206,2009,East Berkshire,Nitric Oxide,
207,2010,East Berkshire,Nitric Oxide,
208,2011,East Berkshire,Nitric Oxide,
209,2012,East Berkshire,Nitric Oxide,
210,2013,East Berkshire,Nitric Oxide,
211,2014,East Berkshire,Nitric Oxide,
212,2015,East Berkshire,Nitric Oxide,
213,2016,East Berkshire,Nitric Oxide,
214,2017,East Berkshire,Nitric Oxide,
215,2018,East Berkshire,Nitric Oxide,
216,2019,East Berkshire,Nitric Oxide,0.9558337831871841
217,2020,East Berkshire,Nitric Oxide,
218,2004,Hammersmith and Fulham,Nitric Oxide,
219,2005,Hammersmith and Fulham,Nitric Oxide,
220,2006,Hammersmith and Fulham,Nitric Oxide,
221,2007,Hammersmith and Fulham,Nitric Oxide,
222,2008,Hammersmith and Fulham,Nitric Oxide,
223,2009,Hammersmith and Fulham,Nitric Oxide,
224,2011,Hammersmith and Fulham,Nitric Oxide,
225,2012,Hammersmith and Fulham,Nitric Oxide,
226,2013,Hammersmith and Fulham,Nitric Oxide,
227,2014,Hammersmith and Fulham,Nitric Oxide,
228,2015,Hammersmith and Fulham,Nitric Oxide,
229,2016,Hammersmith and Fulham,Nitric Oxide,
230,2017,Hammersmith and Fulham,Nitric Oxide,
231,2018,Hammersmith and Fulham,Nitric Oxide,
232,2019,Hammersmith and Fulham,Nitric Oxide,
233,2020,Hammersmith and Fulham,Nitric Oxide,
234,2004,Hillingdon,Nitric Oxide,
235,2005,Hillingdon,Nitric Oxide,
236,2006,Hillingdon,Nitric Oxide,
237,2007,Hillingdon,Nitric Oxide,
238,2008,Hillingdon,Nitric Oxide,
239,2009,Hillingdon,Nitric Oxide,
240,2010,Hillingdon,Nitric Oxide,
241,2011,Hillingdon,Nitric Oxide,
242,2012,Hillingdon,Nitric Oxide,
243,2013,Hillingdon,Nitric Oxide,
244,2014,Hillingdon,Nitric Oxide,
245,2015,Hillingdon,Nitric Oxide,
246,2016,Hillingdon,Nitric Oxide,
247,2017,Hillingdon,Nitric Oxide,
248,2018,Hillingdon,Nitric Oxide,
