,Indicator Full Name,Indicator,Area Name,Radius,Year,Time period,Mortality Rate
0,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2006,2006 - 08,38.388443248541
1,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2006,2006 - 08,36.1767857233585
2,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2006,2006 - 08,39.00300079884961
3,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2006,2006 - 08,25.6536125438659
4,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2006,2006 - 08,31.198376593685
5,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2007,2007 - 09,35.2474566247474
6,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2007,2007 - 09,34.7233686052914
7,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2007,2007 - 09,42.4021676918821
8,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2007,2007 - 09,24.824630065267
9,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2007,2007 - 09,29.6313207730683
10,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2008,2008 - 10,36.3702072002943
11,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2008,2008 - 10,34.4573233182519
12,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2008,2008 - 10,38.9829406464005
13,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2008,2008 - 10,24.64486296907549
14,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2008,2008 - 10,29.3801056449608
15,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2009,2009 - 11,35.305082144957
16,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2009,2009 - 11,30.7374860127874
17,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2009,2009 - 11,39.163753024015605
18,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2009,2009 - 11,23.67329885482389
