,Location,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG,Radius,lat/long,distance_from_LHR
0, Hounslow 2 - Cranford,2004,,19.36690680852473,35.63710978672637,65.1836486398935,31.628425987905036,22.091612120956807,,,3.6115653820816873,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
1, Hounslow 2 - Cranford,2005,,19.28225185671379,37.73068724269597,66.99313214371185,34.42601047706647,22.159976732701754,,,3.959996846383258,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
2, Hounslow 2 - Cranford,2006,,16.322724490542818,37.43965257518243,62.49330725455533,41.626835958636,22.69530805181096,,,3.0185797266904784,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
3, Hounslow 2 - Cranford,2007,,22.751625996598072,34.51619931328315,69.26068094379164,31.764437187208916,21.877800239529613,,,2.8863708207223944,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
4, Hounslow 2 - Cranford,2008,,19.463411919003896,36.025263393571045,65.72896697466017,36.52743372248239,19.22102954747516,,,3.046297643446082,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
5, Hounslow 2 - Cranford,2009,,13.96896697088942,33.234710799748676,52.411946012295886,34.44903615759541,21.502238734910033,,,12.931383793654584,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
6, Hounslow 2 - Cranford,2010,,8.663226467574294,21.241340945688776,34.29370516761821,48.70446493924756,,,,0.8519104084321476,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
7, Hounslow 2 - Cranford,2011,,11.9373771563073,29.68029852414314,48.16735614783704,31.619417835477595,8.581105978111422,,,-0.019038912575752028,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
8, Hounslow 2 - Cranford,2012,,15.4280603745875,31.152764397758784,54.84384435113138,31.53995588994994,15.819043928347085,,,2.173683352033509,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
9, Hounslow 2 - Cranford,2013,,13.46728938856331,30.431623433542324,51.350989222072045,34.60202533864623,19.26695267790891,,,1.601606597282861,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
10, Hounslow 2 - Cranford,2014,,13.720314705958085,31.390845998127958,52.617017933617554,34.73975631668715,18.42423026364632,,,1.858234573189595,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
11, Hounslow 2 - Cranford,2015,,8.716144897885512,30.231498491251322,43.77489048787889,36.509611695960714,16.409299816974183,,,1.491848415887222,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
12, Hounslow 2 - Cranford,2016,,18.335734405967838,30.811259820997858,59.148750911518206,31.746313582504825,16.99448661130078,,,1.531785693715487,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
13, Hounslow 2 - Cranford,2017,,13.935710814938217,29.940200590736147,51.391409426829014,31.394449485143806,17.464238604369392,,,1.0608677094868952,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
14, Hounslow 2 - Cranford,2018,,8.625243637700388,22.246924708155284,35.41640275511461,36.821549241524295,14.20766889758697,,,1.2060372259081493,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
15, Hounslow 2 - Cranford,2019,,13.818452380952381,6.125,28.148809523809522,26.916123034464754,,,,1.8199897268994778,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
16, Hounslow 2 - Cranford,2020,,3.310737395436644,19.96620187538298,25.078303423720225,36.224710852264145,19.573373205741625,,,2.069656385177153,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675
17, Hounslow 4 - Chiswick High Road,2004,,63.55565696398977,77.68493552568751,174.95406153612777,,27.03855432337118,,,4.69991556517825,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
18, Hounslow 4 - Chiswick High Road,2005,,65.12763459242079,71.8146097803662,171.52170307522385,,28.260323114534575,,,4.098670103267906,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
19, Hounslow 4 - Chiswick High Road,2006,,65.44769891117421,68.73002937354488,169.53596685709846,,25.778304874461192,,,3.0480763454334006,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
20, Hounslow 4 - Chiswick High Road,2007,,59.00960906101572,65.22475642430882,155.74055741312776,,24.088654924672305,,,2.506981866572047,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
21, Hounslow 4 - Chiswick High Road,2008,,59.05746983376177,74.88807461644238,165.31789725480024,,25.25761956578537,,,2.567387694695618,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
22, Hounslow 4 - Chiswick High Road,2009,,58.43861962202699,66.79482623299732,156.39656391694822,,27.570291706671398,,,3.0121951219512186,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
23, Hounslow 4 - Chiswick High Road,2011,,58.214764743912866,56.31308933565796,145.29638457092258,,,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
24, Hounslow 4 - Chiswick High Road,2012,,57.600522224921036,55.67279551912477,143.87755673603365,,24.15716128869974,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
25, Hounslow 4 - Chiswick High Road,2013,,64.10642464048145,56.374990528527604,154.71598433477283,,29.058091923126483,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
26, Hounslow 4 - Chiswick High Road,2014,,59.01789433318317,51.81171020512146,142.35008178490156,,27.167634823784386,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
27, Hounslow 4 - Chiswick High Road,2015,,47.14945611027741,44.86206138579237,117.21383326991567,,21.64714861770712,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
28, Hounslow 4 - Chiswick High Road,2016,,57.93036877586195,49.857847996413824,138.7433592100026,,21.806665563716574,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
29, Hounslow 4 - Chiswick High Road,2017,,49.96675781038495,53.38776869348636,129.99839054632085,,19.831805483471463,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
30, Hounslow 4 - Chiswick High Road,2018,,43.190488811367324,47.24851756740381,113.46210191337356,,19.76765561105545,,,,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098
