,CCG,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide
0,Buckinghamshire,2020,0.13874975113759208,33.78152532786745,33.04202959964874,,49.98446735255331,16.014508197132173,,,
1,Ealing,2004,0.770049469902473,,57.882937645478684,,33.992080422331036,,23.333576306877806,15.391342273253397,10.043231944507777
2,Ealing,2005,0.7621498097570265,,52.86297396999513,,28.594453090607452,,25.916646944624887,21.009842207540355,8.370424824312302
3,Ealing,2006,0.7300953061587455,,55.03563466083658,,32.52753876052575,,25.443424688491117,18.450044804007803,6.206311289688668
4,Ealing,2007,0.6519782013433968,,54.24769082229276,,28.47389078318255,,24.401768909306927,,6.530477737026352
5,Ealing,2008,0.5025170231624833,,58.84837107652069,,29.08530456902247,,22.14147480833379,11.795320539967483,5.656651844069671
6,Ealing,2009,0.6400324472780062,,56.8886387733401,,25.856958735915402,,22.76906732666252,11.207386516207691,10.177289388025422
7,Ealing,2010,0.482649570106708,,57.182302664915824,,26.273895148700547,,22.358329224931214,11.375742418228214,8.950074745199544
8,Ealing,2011,0.4207831683090332,,50.39484565398761,,28.222554258240905,,23.629680687321052,13.148969639523106,4.750594092342186
9,Ealing,2012,,,55.933676193527425,,34.67911716417463,,23.47171892978855,9.808660086371969,1.2119531815217388
10,Ealing,2013,,,51.82006763521714,,35.00612546158585,,25.208131518313756,9.885007293789224,
11,Ealing,2014,,,48.731111831016875,,36.15235679691407,,20.096599504327465,11.0727294379344,
12,Ealing,2015,,,57.43133182161743,,36.43666549734984,,22.298301598920983,11.516187591693607,
13,Ealing,2016,,,56.98691878740693,,25.474152967171722,,22.008692919730816,12.924810606060607,
14,Ealing,2017,,,54.559601376011564,,,,25.726536726411894,,
15,Ealing,2018,,,50.027932519595026,,,,24.810243239771193,,
16,Ealing,2019,,,46.56658076254765,,,,22.534795186299238,,
17,Ealing,2020,,,33.29407531490893,,,,20.715119767152874,,
18,East Berkshire,2004,,,32.56806589466603,,,,23.849996292353744,,
19,East Berkshire,2005,,,37.418354508315105,,,,27.401398039196902,10.116928683719937,
20,East Berkshire,2006,,,37.77894482729974,,,,23.056505102243108,8.211002494757558,
21,East Berkshire,2007,,,38.38131620975304,,,,39.66833846461614,10.1113342936477,
22,East Berkshire,2008,,,37.39360419145878,,,,25.211123348414986,8.040837159745239,
23,East Berkshire,2009,,,34.64011599805646,,,,27.864766646046945,9.241056124336303,
24,East Berkshire,2010,,,35.734207306080094,,,,21.926850842498222,7.212730283467131,
25,East Berkshire,2011,,,36.02852741067302,,,,30.240539557524375,11.023208946257276,
26,East Berkshire,2012,,,34.224927861323145,,,,23.303635589080503,9.032873535724471,
27,East Berkshire,2013,,,33.90456884493743,,,,22.190329520577137,8.848093391828135,
28,East Berkshire,2014,,,34.18785703272831,,,,19.033874080234835,7.685846437182931,
29,East Berkshire,2015,,,31.191648440520858,,,,16.24208172173037,6.439087096655967,
30,East Berkshire,2016,,,33.08942676359658,,,,15.282021490711628,5.721706686906419,
31,East Berkshire,2017,,,33.94460608087713,,,,17.412888908578026,6.64724855289963,
32,East Berkshire,2018,,,33.03361569192257,,,,17.52200363008815,6.40051623012495,
