,Year,Area Name,CCG Location,CCG_Poll_Map,LAT,LONG,Indicator Name,Value
0,2003,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
1,2004,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
2,2005,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
3,2006,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
4,2007,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
5,2008,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
6,2009,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
7,2010,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
8,2011,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
9,2012,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
10,2013,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
11,2014,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
12,2015,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
13,2016,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
14,2017,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
15,2018,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
16,2019,NHS Berkshire West CCG,Outer Radius,Reading,51.4458,-1.16963,heathrow_distance,49791.74229
17,2003,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
18,2004,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
