Country Name,Indicator Name,Year,Value
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2004,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2004,
NHS Ealing CCG,Asthma Admissions Over 19yr,2004,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2004,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2004,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2004,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2004,
NHS Kingston CCG,Asthma Admissions Over 19yr,2004,
NHS Merton CCG,Asthma Admissions Over 19yr,2004,
NHS Richmond CCG,Asthma Admissions Over 19yr,2004,
NHS Sutton CCG,Asthma Admissions Over 19yr,2004,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2004,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2004,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2004,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2005,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2005,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2005,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2005,
NHS Ealing CCG,Asthma Admissions Over 19yr,2005,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2005,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2005,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2005,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2005,
NHS Kingston CCG,Asthma Admissions Over 19yr,2005,
NHS Merton CCG,Asthma Admissions Over 19yr,2005,
NHS Richmond CCG,Asthma Admissions Over 19yr,2005,
NHS Sutton CCG,Asthma Admissions Over 19yr,2005,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2005,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2005,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2005,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2006,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2006,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2006,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2006,
NHS Ealing CCG,Asthma Admissions Over 19yr,2006,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2006,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2006,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2006,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2006,
NHS Kingston CCG,Asthma Admissions Over 19yr,2006,
NHS Merton CCG,Asthma Admissions Over 19yr,2006,
NHS Richmond CCG,Asthma Admissions Over 19yr,2006,
NHS Sutton CCG,Asthma Admissions Over 19yr,2006,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2006,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2006,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2006,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2007,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2007,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2007,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2007,
NHS Ealing CCG,Asthma Admissions Over 19yr,2007,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2007,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2007,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2007,
NHS Kingston CCG,Asthma Admissions Over 19yr,2007,
NHS Merton CCG,Asthma Admissions Over 19yr,2007,
NHS Richmond CCG,Asthma Admissions Over 19yr,2007,
NHS Sutton CCG,Asthma Admissions Over 19yr,2007,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2007,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2007,
