,Year,Area Name,heathrow_distance,CCG_Poll_Map,Radius Location,LAT,LONG,Indicator Name,Value,Indicator Type
0,2003,NHS Berkshire West CCG,49791.742289999995,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease Mortality Rate,57.82,Health - Mortality
1,2003,NHS Brent CCG,16247.54245,No Pollution Readings,Outer,51.5644,-0.27568000000000004,<75 Coronary Heart Disease Mortality Rate,76.04,Health - Mortality
2,2003,NHS Buckinghamshire CCG,38818.06153,No Pollution Readings,Outer,51.7414,-0.8064399999999999,<75 Coronary Heart Disease Mortality Rate,51.21,Health - Mortality
3,2003,NHS Croydon CCG,28645.8407,No Pollution Readings,Outer,51.36600000000001,-0.07761,<75 Coronary Heart Disease Mortality Rate,65.63,Health - Mortality
4,2003,NHS Ealing CCG,11465.530929999999,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease Mortality Rate,82.91,Health - Mortality
5,2003,NHS East Berkshire CCG,15803.713430000002,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease Mortality Rate,67.88,Health - Mortality
6,2003,NHS Guildford and Waverley CCG,33590.83386,No Pollution Readings,Outer,51.1811,-0.59422,<75 Coronary Heart Disease Mortality Rate,54.07,Health - Mortality
7,2003,NHS Hammersmith And Fulham CCG,16573.14549,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease Mortality Rate,75.75,Health - Mortality
8,2003,NHS Harrow CCG,16107.86487,No Pollution Readings,Outer,51.5946,-0.33603,<75 Coronary Heart Disease Mortality Rate,66.75,Health - Mortality
9,2003,NHS Herts Valleys CCG,29114.52213,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease Mortality Rate,50.97,Health - Mortality
10,2003,NHS Hillingdon CCG,7458.185529,Hillingdon,Inner,51.5366,-0.4418,<75 Coronary Heart Disease Mortality Rate,65.95,Health - Mortality
