,Unnamed: 0,Year,Indicator Type,Indicator Name,Area Name,Radius Location,Value,heathrow_distance,LAT,LONG,category
0,0,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,38.388443248541,11465.53093,51.5244,-0.31405,HIGH
1,1,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,36.1767857233585,7458.185529,51.5366,-0.4418,HIGH
2,2,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,39.00300079884961,5336.984712,51.4624,-0.37847,HIGH
3,3,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,25.6536125438659,38818.06153,51.7414,-0.8064399999999999,LOWER
4,4,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,31.198376593685,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
5,5,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,35.2474566247474,11465.53093,51.5244,-0.31405,HIGH
6,6,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,34.7233686052914,7458.185529,51.5366,-0.4418,HIGH
7,7,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,42.4021676918821,5336.984712,51.4624,-0.37847,HIGH
8,8,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,24.824630065267,38818.06153,51.7414,-0.8064399999999999,LOWER
9,9,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.6313207730683,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
10,10,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,36.3702072002943,11465.53093,51.5244,-0.31405,HIGH
11,11,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,34.4573233182519,7458.185529,51.5366,-0.4418,HIGH
12,12,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,38.9829406464005,5336.984712,51.4624,-0.37847,HIGH
13,13,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,24.64486296907549,38818.06153,51.7414,-0.8064399999999999,LOWER
14,14,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.3801056449608,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
15,15,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,35.305082144957,11465.53093,51.5244,-0.31405,HIGH
16,16,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.7374860127874,7458.185529,51.5366,-0.4418,MEDIUM
17,17,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,39.163753024015605,5336.984712,51.4624,-0.37847,HIGH
18,18,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,23.67329885482389,38818.06153,51.7414,-0.8064399999999999,LOWER
19,19,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.567701196798602,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
20,20,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,34.2132213193597,11465.53093,51.5244,-0.31405,HIGH
21,21,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,33.6477796308702,7458.185529,51.5366,-0.4418,HIGH
22,22,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,33.8404769224762,5336.984712,51.4624,-0.37847,HIGH
23,23,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,23.203703591933998,38818.06153,51.7414,-0.8064399999999999,LOWER
24,24,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,28.7460188755604,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
25,25,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.5349940184054,11465.53093,51.5244,-0.31405,MEDIUM
26,26,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.927267125109402,7458.185529,51.5366,-0.4418,MEDIUM
27,27,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,34.049702559322,5336.984712,51.4624,-0.37847,HIGH
28,28,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.5115195934638,38818.06153,51.7414,-0.8064399999999999,LOWER
29,29,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,27.5934653004516,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
30,30,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,31.0105174247062,11465.53093,51.5244,-0.31405,MEDIUM
31,31,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.478241250547,7458.185529,51.5366,-0.4418,MEDIUM
32,32,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,33.735048179001396,5336.984712,51.4624,-0.37847,HIGH
33,33,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.1998512435699,38818.06153,51.7414,-0.8064399999999999,LOWER
34,34,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,27.613544934791197,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
35,35,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.7948446048833,11465.53093,51.5244,-0.31405,MEDIUM
36,36,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,27.9446180006812,7458.185529,51.5366,-0.4418,MEDIUM
37,37,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,36.0552361252494,5336.984712,51.4624,-0.37847,HIGH
38,38,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.82263888246469,38818.06153,51.7414,-0.8064399999999999,LOWER
39,39,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,26.1693349930075,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
40,40,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,32.08054945619001,11465.53093,51.5244,-0.31405,MEDIUM
41,41,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,27.7632502953777,7458.185529,51.5366,-0.4418,MEDIUM
42,42,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,34.3627665752023,5336.984712,51.4624,-0.37847,HIGH
43,43,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,21.6444232535634,38818.06153,51.7414,-0.8064399999999999,LOWER
44,44,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.0599735213409,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
45,45,2015,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,28.7533355755385,11465.53093,51.5244,-0.31405,MEDIUM
46,46,2015,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,28.0998277042167,7458.185529,51.5366,-0.4418,MEDIUM
47,47,2015,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,30.7986517471625,5336.984712,51.4624,-0.37847,MEDIUM
48,48,2015,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,22.2120630645971,38818.06153,51.7414,-0.8064399999999999,LOWER
49,49,2015,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.541480001123,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
50,50,2016,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.774326438057102,11465.53093,51.5244,-0.31405,MEDIUM
51,51,2016,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,28.1630532883202,7458.185529,51.5366,-0.4418,MEDIUM
52,52,2016,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,29.4769528809636,5336.984712,51.4624,-0.37847,MEDIUM
53,53,2016,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.8281564440607,38818.06153,51.7414,-0.8064399999999999,LOWER
54,54,2016,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,32.1739145921297,15803.713430000002,51.4541,-0.6802600000000001,MEDIUM
55,55,2017,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.2634947272868,11465.53093,51.5244,-0.31405,MEDIUM
56,56,2017,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.3875285161779,7458.185529,51.5366,-0.4418,MEDIUM
57,57,2017,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,27.136209739868196,5336.984712,51.4624,-0.37847,MEDIUM
58,58,2017,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,18.7265139559745,38818.06153,51.7414,-0.8064399999999999,LOWER
