,Indicator ID,Indicator Name,Area Code,Area Name,Area Type,Sex,Age,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Compared to England value or percentiles,Time period Sortable,Radius
0,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2006 - 08,42.3,36.95,48.2,34.11,51.76,228.0,958022.0,,Better,2006,Inner
1,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2006 - 08,47.58,41.92,53.78,38.9,57.52,258.0,772419.0,,Similar,2006,Inner
2,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2006 - 08,54.46,47.24,62.46,43.42,67.29,210.0,699487.0,,Similar,2006,Inner
3,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2006 - 08,35.73,32.44,39.28,30.64,41.38,433.0,1487851.0,,Not compared,2006,Inner
4,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2006 - 08,46.33,41.67,51.36,39.15,54.37,365.0,1167880.0,,Better,2006,Inner
5,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2007 - 09,40.5,35.32,46.22,32.58,49.67,223.0,972659.0,,Not compared,2007,Inner
6,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2007 - 09,51.84,45.95,58.27,42.79,62.13,284.0,783697.0,,Similar,2007,Inner
7,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2007 - 09,46.67,40.05,54.07,36.56,58.54,184.0,714727.0,,Similar,2007,Inner
8,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2007 - 09,37.12,33.8,40.67,31.99,42.79,463.0,1497335.0,,Not compared,2007,Inner
9,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2007 - 09,45.29,40.72,50.22,38.25,53.17,364.0,1183866.0,,Better,2007,Inner
10,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2008 - 10,43.2,37.87,49.07,35.04,52.6,241.0,988061.0,,Better,2008,Inner
11,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2008 - 10,52.75,46.84,59.2,43.66,63.07,292.0,796181.0,,Similar,2008,Inner
12,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2008 - 10,46.2,39.69,53.47,36.26,57.87,185.0,730509.0,,Similar,2008,Inner
13,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2008 - 10,36.02,32.8,39.48,31.04,41.54,462.0,1506669.0,,Not compared,2008,Inner
14,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2008 - 10,45.41,40.89,50.29,38.45,53.2,374.0,1200105.0,,Similar,2008,Inner
15,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2009 - 11,43.03,37.76,48.83,34.96,52.32,244.0,1003353.0,,Better,2009,Inner
16,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2009 - 11,50.04,44.33,56.28,41.27,60.02,281.0,810629.0,,Similar,2009,Inner
17,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2009 - 11,49.08,42.48,56.41,39.0,60.83,203.0,747529.0,,Similar,2009,Inner
18,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2009 - 11,34.97,31.84,38.34,30.13,40.34,460.0,1516795.0,,Not compared,2009,Inner
19,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2009 - 11,45.25,40.78,50.08,38.36,52.96,379.0,1215356.0,,Similar,2009,Inner
20,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2010 - 12,42.66,37.47,48.38,34.7,51.81,246.0,1013719.0,,Better,2010,Inner
21,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2010 - 12,50.48,44.79,56.7,41.74,60.43,287.0,826143.0,,Similar,2010,Inner
22,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2010 - 12,52.9,46.13,60.39,42.53,64.9,223.0,762681.0,,Similar,2010,Inner
23,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2010 - 12,31.59,28.66,34.74,27.07,36.62,429.0,1528888.0,,Not compared,2010,Inner
24,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2010 - 12,45.75,41.31,50.53,38.9,53.39,392.0,1229244.0,,Similar,2010,Inner
25,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2011 - 13,42.03,36.91,47.66,34.19,51.04,245.0,1021754.0,,Not compared,2011,Inner
26,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2011 - 13,50.86,45.2,57.04,42.16,60.74,295.0,842674.0,,Similar,2011,Inner
27,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2011 - 13,51.94,45.3,59.28,41.77,63.7,224.0,774720.0,,Similar,2011,Inner
28,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2011 - 13,32.11,29.19,35.25,27.61,37.11,447.0,1541580.0,,Not compared,2011,Inner
29,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2011 - 13,47.69,43.19,52.52,40.76,55.4,416.0,1240611.0,,Similar,2011,Inner
30,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2012 - 14,40.38,35.42,45.83,32.79,49.12,241.0,1025437.0,,Not compared,2012,Inner
31,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2012 - 14,51.44,45.8,57.57,42.78,61.25,305.0,858543.0,,Similar,2012,Inner
