,Year,Indicator Type,Indicator Name,Area Name,Radius Location,Value,heathrow_distance,LAT,LONG
0,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,38.388443248541,11465.530929999999,51.5244,-0.31405
1,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,36.1767857233585,7458.185529,51.5366,-0.4418
2,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,39.00300079884961,5336.9847119999995,51.4624,-0.37847
3,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,25.6536125438659,38818.06153,51.7414,-0.8064399999999999
4,2006,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,31.198376593685,15803.713430000002,51.4541,-0.6802600000000001
5,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,35.2474566247474,11465.530929999999,51.5244,-0.31405
6,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,34.7233686052914,7458.185529,51.5366,-0.4418
7,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,42.4021676918821,5336.9847119999995,51.4624,-0.37847
8,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,24.824630065267,38818.06153,51.7414,-0.8064399999999999
9,2007,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.6313207730683,15803.713430000002,51.4541,-0.6802600000000001
10,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,36.3702072002943,11465.530929999999,51.5244,-0.31405
11,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,34.4573233182519,7458.185529,51.5366,-0.4418
12,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,38.9829406464005,5336.9847119999995,51.4624,-0.37847
13,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,24.64486296907549,38818.06153,51.7414,-0.8064399999999999
14,2008,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.3801056449608,15803.713430000002,51.4541,-0.6802600000000001
15,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,35.305082144957,11465.530929999999,51.5244,-0.31405
16,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.7374860127874,7458.185529,51.5366,-0.4418
17,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,39.163753024015605,5336.9847119999995,51.4624,-0.37847
18,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,23.67329885482389,38818.06153,51.7414,-0.8064399999999999
19,2009,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,29.567701196798602,15803.713430000002,51.4541,-0.6802600000000001
20,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,34.2132213193597,11465.530929999999,51.5244,-0.31405
21,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,33.6477796308702,7458.185529,51.5366,-0.4418
22,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,33.8404769224762,5336.9847119999995,51.4624,-0.37847
23,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,23.203703591933998,38818.06153,51.7414,-0.8064399999999999
24,2010,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,28.7460188755604,15803.713430000002,51.4541,-0.6802600000000001
25,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.5349940184054,11465.530929999999,51.5244,-0.31405
26,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.927267125109402,7458.185529,51.5366,-0.4418
27,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,34.049702559322,5336.9847119999995,51.4624,-0.37847
28,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.5115195934638,38818.06153,51.7414,-0.8064399999999999
29,2011,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,27.5934653004516,15803.713430000002,51.4541,-0.6802600000000001
30,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,31.0105174247062,11465.530929999999,51.5244,-0.31405
31,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,30.478241250547,7458.185529,51.5366,-0.4418
32,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,33.735048179001396,5336.9847119999995,51.4624,-0.37847
33,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.1998512435699,38818.06153,51.7414,-0.8064399999999999
34,2012,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,27.613544934791197,15803.713430000002,51.4541,-0.6802600000000001
35,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,30.7948446048833,11465.530929999999,51.5244,-0.31405
36,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,27.9446180006812,7458.185529,51.5366,-0.4418
37,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,36.0552361252494,5336.9847119999995,51.4624,-0.37847
38,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,19.82263888246469,38818.06153,51.7414,-0.8064399999999999
39,2013,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS East Berkshire CCG,Outer,26.1693349930075,15803.713430000002,51.4541,-0.6802600000000001
40,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Ealing CCG,Inner,32.08054945619001,11465.530929999999,51.5244,-0.31405
41,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hillingdon CCG,Inner,27.7632502953777,7458.185529,51.5366,-0.4418
42,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Hounslow CCG,Inner,34.3627665752023,5336.9847119999995,51.4624,-0.37847
43,2014,Health - Mortality,Under 75 Resp Disease Mortality Rate,NHS Buckinghamshire CCG,Outer,21.6444232535634,38818.06153,51.7414,-0.8064399999999999
