,CCG_Poll_Map,Year,Nitrogen dioxide,PM10
0,Buckinghamshire,2020,33.042029599648735,
1,Ealing,2004,57.882937645478684,23.33357630687781
2,Ealing,2005,52.86297396999514,25.91664694462489
3,Ealing,2006,55.035634660836585,25.44342468849112
4,Ealing,2007,54.24769082229276,24.40176890930693
5,Ealing,2008,58.84837107652069,22.141474808333786
6,Ealing,2009,56.8886387733401,22.769067326662523
7,Ealing,2010,57.18230266491582,22.35832922493121
8,Ealing,2011,50.39484565398761,23.629680687321052
9,Ealing,2012,55.93367619352743,23.47171892978855
10,Ealing,2013,51.82006763521714,25.20813151831376
11,Ealing,2014,48.73111183101688,20.096599504327465
12,Ealing,2015,57.431331821617434,22.298301598920983
13,Ealing,2016,56.98691878740693,22.008692919730816
14,Ealing,2017,54.55960137601157,25.72653672641189
15,Ealing,2018,50.02793251959503,24.810243239771193
16,Ealing,2019,46.566580762547645,22.534795186299238
17,Ealing,2020,33.29407531490893,20.715119767152874
18,East Berkshire,2004,32.568065894666034,23.849996292353744
19,East Berkshire,2005,37.41835450831511,27.401398039196906
20,East Berkshire,2006,37.778944827299746,23.056505102243108
21,East Berkshire,2007,38.38131620975304,39.66833846461614
22,East Berkshire,2008,37.393604191458785,25.211123348414983
23,East Berkshire,2009,34.64011599805646,27.864766646046945
24,East Berkshire,2010,35.734207306080094,21.926850842498226
25,East Berkshire,2011,36.02852741067302,30.24053955752437
26,East Berkshire,2012,34.224927861323145,23.303635589080507
27,East Berkshire,2013,33.90456884493743,22.190329520577134
28,East Berkshire,2014,34.18785703272831,19.033874080234835
29,East Berkshire,2015,31.191648440520854,16.24208172173037
30,East Berkshire,2016,33.08942676359658,15.282021490711626
31,East Berkshire,2017,33.94460608087713,17.412888908578026
32,East Berkshire,2018,33.03361569192257,17.52200363008815
33,East Berkshire,2019,29.479909068729604,17.737270440184556
34,East Berkshire,2020,21.927106381086343,18.34778398288618
35,Guildford,2008,,53.28857495481928
36,Guildford,2018,41.80688602998465,
37,Guildford,2019,40.781249275357744,
38,Guildford,2020,28.934251695386894,
39,Hammersmith and Fulham,2004,58.655706618399044,26.15843463906273
40,Hammersmith and Fulham,2005,52.32533658933799,30.94865509224381
41,Hammersmith and Fulham,2006,61.199159977797244,26.324389623428182
42,Hammersmith and Fulham,2007,60.16068460190747,25.63184544971639
43,Hammersmith and Fulham,2008,56.576835543981936,25.86377199037103
44,Hammersmith and Fulham,2009,50.33713471889953,20.22278196785961
45,Hammersmith and Fulham,2011,83.64898474419026,32.77238052568698
46,Hammersmith and Fulham,2012,92.04156192063498,37.70916463911675
47,Hammersmith and Fulham,2013,77.7979631649266,26.49792140591713
48,Hammersmith and Fulham,2014,80.75805644668205,28.40697463768117
49,Hammersmith and Fulham,2015,77.25785099746336,25.38471751177979
50,Hammersmith and Fulham,2016,74.93779640620328,26.28801656386917
51,Hammersmith and Fulham,2017,76.80877754472597,26.83732760792819
52,Hammersmith and Fulham,2018,71.46410514612711,25.708968632251448
53,Hammersmith and Fulham,2019,56.54904937743879,22.727670802321402
54,Hammersmith and Fulham,2020,38.66501663087102,22.318334633905586
55,Hillingdon,2004,44.52378546501192,26.43231135727588
56,Hillingdon,2005,42.36138838109275,25.764295038622684
57,Hillingdon,2006,43.41508920551854,25.90212130010352
58,Hillingdon,2007,43.447593285463974,26.473562421295263
59,Hillingdon,2008,41.98353462354277,23.820121185762172
60,Hillingdon,2009,43.668143552595566,23.748885705232066
61,Hillingdon,2010,42.32239871690258,21.2937498974638
62,Hillingdon,2011,41.2600780112149,24.91838284319085
63,Hillingdon,2012,41.39339736427314,20.82588014409068
64,Hillingdon,2013,39.89078003122446,22.727336984614507
65,Hillingdon,2014,40.06166650437836,21.32522857788094
66,Hillingdon,2015,38.13352824525785,18.93107329429504
67,Hillingdon,2016,39.215095752580055,19.54386206263865
68,Hillingdon,2017,38.544880496705815,18.34788839433012
69,Hillingdon,2018,34.64942881641135,18.876481195582745
70,Hillingdon,2019,35.36966168629447,17.166189885552562
71,Hillingdon,2020,24.16625393524079,16.25536796550497
72,Hounslow,2004,57.17140222562964,
73,Hounslow,2005,52.833258304670075,
74,Hounslow,2006,49.388765990455866,
75,Hounslow,2007,49.496766115917474,
76,Hounslow,2008,50.79522351374722,
77,Hounslow,2009,49.28868693368281,
78,Hounslow,2010,43.58286132882461,
79,Hounslow,2011,44.513516593846674,
80,Hounslow,2012,44.75177720684012,
81,Hounslow,2013,48.00775854848622,
82,Hounslow,2014,44.91178243490025,
83,Hounslow,2015,41.635070595937705,
84,Hounslow,2016,43.95647106732182,
85,Hounslow,2017,42.94356382930549,
86,Hounslow,2018,36.22280363973103,
87,Hounslow,2019,32.224514770239146,
88,Hounslow,2020,26.89869276368752,
89,Oxford,2004,63.54589708734695,27.78944357738571
90,Oxford,2005,49.3628634655282,25.59443373457876
91,Oxford,2006,38.795507736608755,28.36875453857893
92,Oxford,2007,40.805458776223844,25.961704907483877
93,Oxford,2008,36.529904947968475,24.872507720832754
94,Oxford,2009,37.54429075519192,25.106132877001272
95,Oxford,2010,33.413264372329806,23.630868040363435
96,Oxford,2011,34.628377968064555,22.91341079295766
97,Oxford,2012,37.275135299160645,20.511618587089643
98,Oxford,2013,38.267789041121205,22.2902436294776
99,Oxford,2014,38.5703141679721,19.60185019192945
100,Oxford,2015,33.91476221103831,21.289544773837143
101,Oxford,2016,34.40279832571712,19.782039379558363
102,Oxford,2017,30.99640453252254,17.10285982302336
103,Oxford,2018,31.584018882645086,19.16078902801334
104,Oxford,2019,31.385284537766967,17.388310856363844
105,Oxford,2020,24.40934589249466,15.914070344894553
106,Reading,2006,39.60795710469079,
107,Reading,2007,53.170798373493795,31.67636907340601
108,Reading,2008,43.44185020430232,24.531072679147282
109,Reading,2009,44.31432601127336,24.82936538235286
110,Reading,2010,46.98932919533532,25.55291821817796
111,Reading,2011,45.95638545298772,29.42136840311837
112,Reading,2012,46.206437227803576,28.2837504398242
113,Reading,2013,47.01425269888338,23.624317419647607
114,Reading,2014,41.87001978274143,28.024767142583247
115,Reading,2015,38.86213980675558,25.26028931555196
116,Reading,2016,36.66614384485512,20.65442814619035
117,Reading,2017,32.16093530989688,21.010123048735174
118,Reading,2018,34.20268062480706,23.567503608723165
119,Reading,2019,30.42589734789974,22.75082574472545
120,Reading,2020,22.337960482983622,19.421970307968532
121,South West London,2004,32.17711972637567,22.974463454420324
122,South West London,2005,32.569455642932425,23.207930104062253
123,South West London,2006,31.926839848196426,22.97239992698861
124,South West London,2007,34.15358041700518,21.57778888112926
125,South West London,2008,32.64468201507018,20.151395679393726
126,South West London,2009,32.07963126540219,20.70153171500894
127,South West London,2010,32.282602244424766,20.078349973785
128,South West London,2011,28.879385197631734,22.71813238486033
129,South West London,2012,32.365485376182264,19.472033955541164
130,South West London,2013,28.02409971414673,21.258820343384823
131,South West London,2014,29.834611262268897,17.834866632433698
132,South West London,2015,35.243208453222444,18.75926506187874
133,South West London,2016,38.98231118585333,20.061102637558445
134,South West London,2017,34.39632396676987,19.357674085804643
135,South West London,2018,36.08289063549953,19.636448477796364
136,South West London,2019,34.0500938213921,19.308374855572463
137,South West London,2020,24.029461325226613,17.851744709696792
