,CCG_Poll_Map,Year,Nitrogen dioxide,PM10
0,Ealing,2004,57.882937645478684,23.33357630687781
1,Ealing,2005,52.86297396999514,25.91664694462489
2,Ealing,2006,55.035634660836585,25.44342468849112
3,Ealing,2007,54.24769082229276,24.40176890930693
4,Ealing,2008,58.84837107652069,22.141474808333786
5,Ealing,2009,56.8886387733401,22.769067326662523
6,Ealing,2010,57.18230266491582,22.35832922493121
7,Ealing,2011,50.39484565398761,23.629680687321052
8,Ealing,2012,55.93367619352743,23.47171892978855
9,Ealing,2013,51.82006763521714,25.20813151831376
10,Ealing,2014,48.73111183101688,20.096599504327465
11,Ealing,2015,57.431331821617434,22.298301598920983
12,Ealing,2016,56.98691878740693,22.008692919730816
13,Ealing,2017,54.55960137601157,25.72653672641189
14,Ealing,2018,50.02793251959503,24.810243239771193
15,Ealing,2019,46.566580762547645,22.534795186299238
16,Ealing,2020,33.29407531490893,20.715119767152874
17,East Berkshire,2004,32.568065894666034,23.849996292353744
18,East Berkshire,2005,37.41835450831511,27.401398039196906
19,East Berkshire,2006,37.778944827299746,23.056505102243108
20,East Berkshire,2007,38.38131620975304,39.66833846461614
21,East Berkshire,2008,37.393604191458785,25.211123348414983
22,East Berkshire,2009,34.64011599805646,27.864766646046945
23,East Berkshire,2010,35.734207306080094,21.926850842498226
24,East Berkshire,2011,36.02852741067302,30.24053955752437
25,East Berkshire,2012,34.224927861323145,23.303635589080507
26,East Berkshire,2013,33.90456884493743,22.190329520577134
27,East Berkshire,2014,34.18785703272831,19.033874080234835
28,East Berkshire,2015,31.191648440520854,16.24208172173037
29,East Berkshire,2016,33.08942676359658,15.282021490711626
30,East Berkshire,2017,33.94460608087713,17.412888908578026
31,East Berkshire,2018,33.03361569192257,17.52200363008815
32,East Berkshire,2019,32.06243767407192,17.737270440184556
33,East Berkshire,2020,21.927106381086343,18.34778398288618
34,Hillingdon,2004,44.52378546501192,26.43231135727588
35,Hillingdon,2005,42.36138838109275,25.764295038622684
36,Hillingdon,2006,43.41508920551854,25.90212130010352
37,Hillingdon,2007,43.447593285463974,26.473562421295263
38,Hillingdon,2008,41.98353462354277,23.820121185762172
39,Hillingdon,2009,43.668143552595566,23.748885705232066
40,Hillingdon,2010,42.32239871690258,21.2937498974638
41,Hillingdon,2011,41.2600780112149,24.91838284319085
42,Hillingdon,2012,41.39339736427314,20.82588014409068
43,Hillingdon,2013,39.89078003122446,22.727336984614507
44,Hillingdon,2014,40.06166650437836,21.32522857788094
45,Hillingdon,2015,38.13352824525785,18.93107329429504
46,Hillingdon,2016,39.215095752580055,19.54386206263865
47,Hillingdon,2017,38.544880496705815,18.34788839433012
48,Hillingdon,2018,34.64942881641135,18.876481195582745
49,Hillingdon,2019,35.36966168629447,17.166189885552562
50,Hillingdon,2020,24.16625393524079,16.25536796550497
51,Hounslow,2004,57.17140222562964,
52,Hounslow,2005,52.833258304670075,
53,Hounslow,2006,49.388765990455866,
54,Hounslow,2007,49.496766115917474,
