Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2004-01-01,Oxford High St,36.91304347826087,,12.208333333333334,,,Oxford
2004-01-01,Oxford St Ebbes (Cal Club),,50.78260869565217,,,,Oxford
2004-01-01,Watford Roadside,25.291666666666668,38.416666666666664,,,,Watford
2004-01-01,Watford Town Hall,,,21.083333333333332,,,Watford
2004-01-02,Oxford High St,59.0,,31.5,,,Oxford
2004-01-02,Oxford St Ebbes (Cal Club),,22.666666666666668,,,,Oxford
2004-01-02,Watford Roadside,36.083333333333336,17.083333333333332,,,,Watford
2004-01-02,Watford Town Hall,,,29.0,,,Watford
2004-01-03,Oxford High St,53.875,,27.958333333333332,,,Oxford
2004-01-03,Oxford St Ebbes (Cal Club),,5.75,,,,Oxford
2004-01-03,Watford Roadside,54.875,3.4166666666666665,,,,Watford
2004-01-03,Watford Town Hall,,,41.416666666666664,,,Watford
2004-01-04,Oxford High St,60.875,,27.708333333333332,,,Oxford
2004-01-04,Oxford St Ebbes (Cal Club),,15.583333333333334,,,,Oxford
2004-01-04,Watford Roadside,38.083333333333336,11.666666666666666,,,,Watford
2004-01-04,Watford Town Hall,,,35.458333333333336,,,Watford
2004-01-05,Brook Green,51.57375000000001,,21.53333333333333,,,Hammersmith and Fulham
2004-01-05,Oxford High St,49.875,,14.083333333333334,,,Oxford
2004-01-05,Oxford St Ebbes (Cal Club),,23.666666666666668,,,,Oxford
2004-01-05,Watford Roadside,43.625,10.173913043478262,,,,Watford
2004-01-05,Watford Town Hall,,,20.416666666666668,,,Watford
2004-01-06,Brook Green,44.768437500000005,,26.47083333333333,,,Hammersmith and Fulham
2004-01-06,Oxford High St,56.083333333333336,,21.541666666666668,,,Oxford
2004-01-06,Oxford St Ebbes (Cal Club),,40.75,,,,Oxford
2004-01-06,Watford Roadside,40.375,27.5,,,,Watford
2004-01-06,Watford Town Hall,,,26.708333333333332,,,Watford
2004-01-07,Brook Green,34.385156250000016,,21.62272727272727,,,Hammersmith and Fulham
2004-01-07,Oxford High St,38.125,,20.833333333333332,,,Oxford
2004-01-07,Oxford St Ebbes (Cal Club),,32.333333333333336,,,,Oxford
2004-01-07,Watford Roadside,36.25,27.0,,,,Watford
2004-01-07,Watford Town Hall,,,26.954545454545453,,,Watford
2004-01-08,Brook Green,27.412500000000005,,16.88333333333333,,,Hammersmith and Fulham
2004-01-08,Oxford High St,28.40909090909091,,11.875,,,Oxford
2004-01-08,Oxford St Ebbes (Cal Club),,54.916666666666664,,,,Oxford
2004-01-08,Watford Roadside,26.083333333333332,41.166666666666664,,,,Watford
2004-01-08,Watford Town Hall,,,18.208333333333332,,,Watford
2004-01-09,Brook Green,44.77640625,,10.755555555555556,,,Hammersmith and Fulham
2004-01-09,Oxford High St,64.16666666666667,,24.916666666666668,,,Oxford
2004-01-09,Oxford St Ebbes (Cal Club),,48.416666666666664,,,,Oxford
2004-01-09,Watford Roadside,40.125,34.416666666666664,,,,Watford
2004-01-09,Watford Town Hall,,,19.208333333333332,,,Watford
2004-01-10,Brook Green,47.26265625,,,,,Hammersmith and Fulham
2004-01-10,Oxford High St,39.791666666666664,,27.0,,,Oxford
2004-01-10,Oxford St Ebbes (Cal Club),,36.416666666666664,,,,Oxford
2004-01-10,Watford Roadside,43.375,19.5,,,,Watford
2004-01-10,Watford Town Hall,,,23.083333333333332,,,Watford
2004-01-11,Brook Green,18.909843750000004,,,,,Hammersmith and Fulham
2004-01-11,Oxford High St,26.666666666666668,,12.416666666666666,,,Oxford
2004-01-11,Oxford St Ebbes (Cal Club),,66.33333333333333,,,,Oxford
2004-01-11,Watford Roadside,12.416666666666666,54.083333333333336,,,,Watford
2004-01-11,Watford Town Hall,,,13.875,,,Watford
2004-01-12,Brook Green,48.314531249999995,,,,,Hammersmith and Fulham
2004-01-12,Oxford High St,59.0,,22.958333333333332,,,Oxford
2004-01-12,Oxford St Ebbes (Cal Club),,45.75,,,,Oxford
2004-01-12,Watford Roadside,48.583333333333336,29.416666666666668,,,,Watford
2004-01-12,Watford Town Hall,,,18.708333333333332,,,Watford
2004-01-13,Brook Green,30.097968750000003,,,,,Hammersmith and Fulham
2004-01-13,Oxford High St,50.458333333333336,,27.416666666666668,,,Oxford
2004-01-13,Oxford St Ebbes (Cal Club),,65.58333333333333,,,,Oxford
2004-01-13,Watford Roadside,21.75,52.833333333333336,,,,Watford
2004-01-13,Watford Town Hall,,,15.958333333333334,,,Watford
2004-01-14,Brook Green,44.680781249999995,,9.766666666666667,,,Hammersmith and Fulham
2004-01-14,Oxford High St,64.91666666666667,,18.166666666666668,,,Oxford
2004-01-14,Oxford St Ebbes (Cal Club),,46.5,,,,Oxford
2004-01-14,Watford Roadside,41.333333333333336,34.916666666666664,,,,Watford
2004-01-14,Watford Town Hall,,,12.208333333333334,,,Watford
2004-01-15,Brook Green,37.54078125,,12.520833333333329,,,Hammersmith and Fulham
2004-01-15,Oxford High St,46.916666666666664,,17.5,,,Oxford
2004-01-15,Oxford St Ebbes (Cal Club),,51.25,,,,Oxford
2004-01-15,Watford Roadside,40.833333333333336,31.083333333333332,,,,Watford
2004-01-15,Watford Town Hall,,,14.708333333333334,,,Watford
2004-01-16,Brook Green,34.49671874999999,,11.954166666666666,,,Hammersmith and Fulham
2004-01-16,Oxford High St,70.58333333333333,,28.916666666666668,,,Oxford
2004-01-16,Oxford St Ebbes (Cal Club),,55.333333333333336,,,,Oxford
2004-01-16,Watford Roadside,21.5,49.833333333333336,,,,Watford
2004-01-16,Watford Town Hall,,,12.583333333333334,,,Watford
2004-01-17,Brook Green,45.38999999999999,,13.729166666666664,,,Hammersmith and Fulham
2004-01-17,Oxford High St,77.54166666666667,,24.958333333333332,,,Oxford
2004-01-17,Oxford St Ebbes (Cal Club),,21.916666666666668,,,,Oxford
2004-01-17,Watford Roadside,34.666666666666664,26.583333333333332,,,,Watford
2004-01-17,Watford Town Hall,,,15.166666666666666,,,Watford
2004-01-18,Brook Green,48.8325,,18.016666666666666,,,Hammersmith and Fulham
2004-01-18,Oxford High St,61.375,,24.208333333333332,,,Oxford
2004-01-18,Oxford St Ebbes (Cal Club),,29.0,,,,Oxford
2004-01-18,Watford Roadside,41.75,24.434782608695652,,,,Watford
2004-01-18,Watford Town Hall,,,20.291666666666668,,,Watford
2004-01-19,Brook Green,35.93109375,,11.452173913043477,,,Hammersmith and Fulham
2004-01-19,Oxford High St,66.625,,16.791666666666668,,,Oxford
2004-01-19,Oxford St Ebbes (Cal Club),,52.0,,,,Oxford
