,CCG,Date,Pollutant,Indicator Value (R µg/m3)
0,Ealing,2004-12-31,Carbon monoxide,0.770049469902473
1,Ealing,2004-12-31,Nitric Oxide,
2,Ealing,2004-12-31,Nitrogen dioxide,57.882937645478684
3,Ealing,2004-12-31,Oxides of Nitrogen,
4,Ealing,2004-12-31,Ozone,33.992080422331036
5,Ealing,2004-12-31,PM10 Particulate matter,
6,Ealing,2004-12-31,PM10 particulate matter (Hourly measured),23.333576306877806
7,Ealing,2004-12-31,PM2.5 particulate matter (Hourly measured),15.391342273253397
8,Ealing,2004-12-31,Sulphur dioxide,10.043231944507777
9,Ealing,2005-12-31,Carbon monoxide,0.7621498097570265
10,Ealing,2005-12-31,Nitric Oxide,
11,Ealing,2005-12-31,Nitrogen dioxide,52.86297396999513
12,Ealing,2005-12-31,Oxides of Nitrogen,
13,Ealing,2005-12-31,Ozone,28.594453090607452
14,Ealing,2005-12-31,PM10 Particulate matter,
15,Ealing,2005-12-31,PM10 particulate matter (Hourly measured),25.916646944624887
16,Ealing,2005-12-31,PM2.5 particulate matter (Hourly measured),21.009842207540355
17,Ealing,2005-12-31,Sulphur dioxide,8.370424824312302
18,Ealing,2006-12-31,Carbon monoxide,0.7300953061587455
19,Ealing,2006-12-31,Nitric Oxide,
20,Ealing,2006-12-31,Nitrogen dioxide,55.03563466083658
21,Ealing,2006-12-31,Oxides of Nitrogen,
22,Ealing,2006-12-31,Ozone,32.52753876052575
23,Ealing,2006-12-31,PM10 Particulate matter,
24,Ealing,2006-12-31,PM10 particulate matter (Hourly measured),25.443424688491117
25,Ealing,2006-12-31,PM2.5 particulate matter (Hourly measured),18.450044804007803
26,Ealing,2006-12-31,Sulphur dioxide,6.206311289688668
27,Ealing,2007-12-31,Carbon monoxide,0.6519782013433968
28,Ealing,2007-12-31,Nitric Oxide,
29,Ealing,2007-12-31,Nitrogen dioxide,54.24769082229276
30,Ealing,2007-12-31,Oxides of Nitrogen,
31,Ealing,2007-12-31,Ozone,28.47389078318255
