Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2004-01,Broadway,64.90593400621117,,30.34542483660131,,13.844516708592133,Hammersmith and Fulham
2004-01,Brook Green,42.48016153381642,,17.60888394817743,,,Hammersmith and Fulham
2004-01,Oxford High St,57.440031450550386,,23.602150537634405,,,Oxford
2004-01,Oxford St Ebbes (Cal Club),,38.67578307620383,,,,Oxford
2004-01,Watford Roadside,39.65477602108036,28.162947851587404,,,,Watford
2004-01,Watford Town Hall,,,21.57533863985477,,,Watford
2004-02,Broadway,78.5432395644283,,30.822677154195013,,13.715187508120941,Hammersmith and Fulham
2004-02,Brook Green,43.14987838669951,,25.10113095238095,,,Hammersmith and Fulham
2004-02,Oxford High St,67.15234902528756,,35.455067920585165,,,Oxford
2004-02,Oxford St Ebbes (Cal Club),,37.974137931034484,,,,Oxford
2004-02,Watford Roadside,49.10027988651178,37.66243002837205,,,,Watford
2004-02,Watford Town Hall,,,29.661725955204215,,,Watford
2004-03,Broadway,88.47519036949839,,38.45374802850258,,13.255274852484472,Hammersmith and Fulham
2004-03,Brook Green,47.35828125000001,,30.3816715542522,,,Hammersmith and Fulham
2004-03,Oxford High St,68.9162310340431,,33.13575268817205,,,Oxford
2004-03,Oxford St Ebbes (Cal Club),,45.09116409537166,,,,Oxford
2004-03,Watford Roadside,45.52027816736792,43.93655445004771,,,,Watford
2004-03,Watford Town Hall,,,33.665160015300266,,,Watford
2004-04,Broadway,69.55056696428571,,18.49892857142857,,,Hammersmith and Fulham
2004-04,Brook Green,46.26174660326089,,24.915627946127948,,,Hammersmith and Fulham
2004-04,Oxford High St,69.26073153899242,,27.215217391304346,,,Oxford
2004-04,Oxford St Ebbes (Cal Club),,51.5388888888889,,,,Oxford
2004-04,Watford Roadside,44.21026570048309,50.64507026789635,,,,Watford
2004-04,Watford Town Hall,,,25.99728260869565,,,Watford
